No,Q1,Q2,Q3,Q4,Q5,Q6,TD(s),SL
192,1,1,1,1,0,1,3.5,2
193,1,1,1,0,1,1,3.5,2
194,1,1,0,1,1,1,3.5,2
195,1,0,1,1,1,1,3.5,2
196,0,1,1,1,1,1,3.5,2
197,1,1,1,1,1,1,3.6,2
198,1,1,1,1,1,0,3.6,2
199,1,1,1,1,0,1,3.6,2
200,1,1,1,0,1,1,3.6,2
201,1,1,0,1,1,1,3.6,2
202,1,0,1,1,1,1,3.6,2
203,0,1,1,1,1,1,3.6,2
204,1,1,1,1,1,1,3.7,2
205,1,1,1,1,1,0,3.7,2
206,1,1,1,1,0,1,3.7,2
207,1,1,1,0,1,1,3.7,2
208,1,1,0,1,1,1,3.7,2
209,1,0,1,1,1,1,3.7,2
210,0,1,1,1,1,1,3.7,2
211,1,1,1,1,1,1,3.8,2
212,1,1,1,1,1,0,3.8,2
213,1,1,1,1,0,1,3.8,2
214,1,1,1,0,1,1,3.8,2
215,1,1,0,1,1,1,3.8,2
216,1,0,1,1,1,1,3.8,2
217,0,1,1,1,1,1,3.8,2
218,1,1,1,1,1,1,3.9,2
219,1,1,1,1,1,0,3.9,2
220,1,1,1,1,0,1,3.9,2
221,1,1,1,0,1,1,3.9,2
222,1,1,0,1,1,1,3.9,2
223,1,0,1,1,1,1,3.9,2
224,0,1,1,1,1,1,3.9,2
225,1,1,1,1,1,1,4,2
226,1,1,1,1,1,0,4,2
227,1,1,1,1,0,1,4,2
228,1,1,1,0,1,1,4,2
229,1,1,0,1,1,1,4,2
230,1,0,1,1,1,1,4,2
231,0,1,1,1,1,1,4,2
232,1,1,1,1,1,1,4.1,2
233,1,1,1,1,1,0,4.1,2
234,1,1,1,1,0,1,4.1,2
235,1,1,1,0,1,1,4.1,2
236,1,1,0,1,1,1,4.1,2
237,1,0,1,1,1,1,4.1,2
238,0,1,1,1,1,1,4.1,2
239,1,1,1,1,1,1,4.2,2
240,1,1,1,1,1,0,4.2,2
241,1,1,1,1,0,1,4.2,2
242,1,1,1,0,1,1,4.2,2
243,1,1,0,1,1,1,4.2,2
244,1,0,1,1,1,1,4.2,2
245,0,1,1,1,1,1,4.2,2
246,1,1,1,1,1,1,4.3,2
247,1,1,1,1,1,0,4.3,2
248,1,1,1,1,0,1,4.3,2
249,1,1,1,0,1,1,4.3,2
250,1,1,0,1,1,1,4.3,2
251,1,0,1,1,1,1,4.3,2
252,0,1,1,1,1,1,4.3,2
253,1,1,1,1,1,1,4.4,2
254,1,1,1,1,1,0,4.4,2
255,1,1,1,1,0,1,4.4,2
256,1,1,1,0,1,1,4.4,2
257,1,1,0,1,1,1,4.4,2
258,1,0,1,1,1,1,4.4,2
259,0,1,1,1,1,1,4.4,2
260,1,1,1,1,1,1,4.5,2
261,1,1,1,1,1,0,4.5,2
262,1,1,1,1,0,1,4.5,2
263,1,1,1,0,1,1,4.5,2
264,1,1,0,1,1,1,4.5,2
265,1,0,1,1,1,1,4.5,2
266,0,1,1,1,1,1,4.5,2
267,1,1,1,1,1,1,4.6,2
268,1,1,1,1,1,0,4.6,2
269,1,1,1,1,0,1,4.6,2
270,1,1,1,0,1,1,4.6,2
271,1,1,0,1,1,1,4.6,2
272,1,0,1,1,1,1,4.6,2
273,0,1,1,1,1,1,4.6,2
274,1,1,1,1,1,1,4.7,2
275,1,1,1,1,1,0,4.7,2
276,1,1,1,1,0,1,4.7,2
277,1,1,1,0,1,1,4.7,2
278,1,1,0,1,1,1,4.7,2
279,1,0,1,1,1,1,4.7,2
280,0,1,1,1,1,1,4.7,2
281,1,1,1,1,1,1,4.8,2
282,1,1,1,1,1,0,4.8,2
283,1,1,1,1,0,1,4.8,2
284,1,1,1,0,1,1,4.8,2
285,1,1,0,1,1,1,4.8,2
286,1,0,1,1,1,1,4.8,2
287,0,1,1,1,1,1,4.8,2
288,1,1,1,1,1,1,4.9,2
289,1,1,1,1,1,0,4.9,2
290,1,1,1,1,0,1,4.9,2
291,1,1,1,0,1,1,4.9,2
292,1,1,0,1,1,1,4.9,2
293,1,0,1,1,1,1,4.9,2
294,0,1,1,1,1,1,4.9,2
295,1,1,1,1,1,1,5,2
296,1,1,1,1,1,0,5,2
297,1,1,1,1,0,1,5,2
298,1,1,1,0,1,1,5,2
299,1,1,0,1,1,1,5,2
300,1,0,1,1,1,1,5,2
301,0,1,1,1,1,1,5,2
302,1,1,1,1,1,1,5.1,2
303,1,1,1,1,1,0,5.1,2
304,1,1,1,1,0,1,5.1,2
305,1,1,1,0,1,1,5.1,2
306,1,1,0,1,1,1,5.1,2
307,1,0,1,1,1,1,5.1,2
308,0,1,1,1,1,1,5.1,2
309,1,1,1,1,1,1,5.2,2
310,1,1,1,1,1,0,5.2,2
311,1,1,1,1,0,1,5.2,2
312,1,1,1,0,1,1,5.2,2
313,1,1,0,1,1,1,5.2,2
314,1,0,1,1,1,1,5.2,2
315,0,1,1,1,1,1,5.2,2
316,1,1,1,1,1,1,5.3,2
317,1,1,1,1,1,0,5.3,2
318,1,1,1,1,0,1,5.3,2
319,1,1,1,0,1,1,5.3,2
320,1,1,0,1,1,1,5.3,2
321,1,0,1,1,1,1,5.3,2
322,0,1,1,1,1,1,5.3,2
323,1,1,1,1,1,1,5.4,2
324,1,1,1,1,1,0,5.4,2
325,1,1,1,1,0,1,5.4,2
326,1,1,1,0,1,1,5.4,2
327,1,1,0,1,1,1,5.4,2
328,1,0,1,1,1,1,5.4,2
329,0,1,1,1,1,1,5.4,2
330,1,1,1,1,1,1,5.5,2
331,1,1,1,1,1,0,5.5,2
332,1,1,1,1,0,1,5.5,2
333,1,1,1,0,1,1,5.5,2
334,1,1,0,1,1,1,5.5,2
335,1,0,1,1,1,1,5.5,2
336,0,1,1,1,1,1,5.5,2
337,0,0,1,1,1,1,0.8,2
338,0,1,0,1,1,1,0.8,2
339,0,1,1,0,1,1,0.8,2
340,0,1,1,1,0,1,0.8,2
341,0,1,1,1,1,0,0.8,2
342,1,0,0,1,1,1,0.8,2
343,1,0,1,0,1,1,0.8,2
344,1,0,1,1,0,1,0.8,2
345,1,0,1,1,1,0,0.8,2
346,1,1,0,0,1,1,0.8,2
347,1,1,0,1,0,1,0.8,2
348,1,1,0,1,1,0,0.8,2
349,1,1,1,0,0,1,0.8,2
350,1,1,1,0,1,0,0.8,2
351,1,1,1,1,0,0,0.8,2
352,0,0,1,1,1,1,0.9,2
353,0,1,0,1,1,1,0.9,2
354,0,1,1,0,1,1,0.9,2
355,0,1,1,1,0,1,0.9,2
356,0,1,1,1,1,0,0.9,2
357,1,0,0,1,1,1,0.9,2
358,1,0,1,0,1,1,0.9,2
359,1,0,1,1,0,1,0.9,2
360,1,0,1,1,1,0,0.9,2
361,1,1,0,0,1,1,0.9,2
362,1,1,0,1,0,1,0.9,2
363,1,1,0,1,1,0,0.9,2
364,1,1,1,0,0,1,0.9,2
365,1,1,1,0,1,0,0.9,2
366,1,1,1,1,0,0,0.9,2
367,0,0,1,1,1,1,1,2
368,0,1,0,1,1,1,1,2
369,0,1,1,0,1,1,1,2
370,0,1,1,1,0,1,1,2
371,0,1,1,1,1,0,1,2
372,1,0,0,1,1,1,1,2
373,1,0,1,0,1,1,1,2
374,1,0,1,1,0,1,1,2
375,1,0,1,1,1,0,1,2
376,1,1,0,0,1,1,1,2
377,1,1,0,1,0,1,1,2
378,1,1,0,1,1,0,1,2
379,1,1,1,0,0,1,1,2
380,1,1,1,0,1,0,1,2
381,1,1,1,1,0,0,1,2
382,0,0,1,1,1,1,1.1,2
383,0,1,0,1,1,1,1.1,2
384,0,1,1,0,1,1,1.1,2
385,0,1,1,1,0,1,1.1,2
386,0,1,1,1,1,0,1.1,2
387,1,0,0,1,1,1,1.1,2
388,1,0,1,0,1,1,1.1,2
389,1,0,1,1,0,1,1.1,2
390,1,0,1,1,1,0,1.1,2
391,1,1,0,0,1,1,1.1,2
392,1,1,0,1,0,1,1.1,2
393,1,1,0,1,1,0,1.1,2
394,1,1,1,0,0,1,1.1,2
395,1,1,1,0,1,0,1.1,2
396,1,1,1,1,0,0,1.1,2
397,0,0,1,1,1,1,1.2,2
398,0,1,0,1,1,1,1.2,2
399,0,1,1,0,1,1,1.2,2
400,0,1,1,1,0,1,1.2,2
401,0,1,1,1,1,0,1.2,2
402,1,0,0,1,1,1,1.2,2
403,1,0,1,0,1,1,1.2,2
404,1,0,1,1,0,1,1.2,2
405,1,0,1,1,1,0,1.2,2
406,1,1,0,0,1,1,1.2,2
407,1,1,0,1,0,1,1.2,2
408,1,1,0,1,1,0,1.2,2
409,1,1,1,0,0,1,1.2,2
410,1,1,1,0,1,0,1.2,2
411,1,1,1,1,0,0,1.2,2
412,0,0,1,1,1,1,1.3,2
413,0,1,0,1,1,1,1.3,2
414,0,1,1,0,1,1,1.3,2
415,0,1,1,1,0,1,1.3,2
416,0,1,1,1,1,0,1.3,2
417,1,0,0,1,1,1,1.3,2
418,1,0,1,0,1,1,1.3,2
419,1,0,1,1,0,1,1.3,2
420,1,0,1,1,1,0,1.3,2
421,1,1,0,0,1,1,1.3,2
422,1,1,0,1,0,1,1.3,2
423,1,1,0,1,1,0,1.3,2
424,1,1,1,0,0,1,1.3,2
425,1,1,1,0,1,0,1.3,2
426,1,1,1,1,0,0,1.3,2
427,0,0,1,1,1,1,2,2
428,0,1,0,1,1,1,1.4,2
429,0,1,1,0,1,1,1.4,2
430,0,1,1,1,0,1,1.4,2
431,0,1,1,1,1,0,1.4,2
432,1,0,0,1,1,1,1.4,2
433,1,0,1,0,1,1,1.4,2
434,1,0,1,1,0,1,1.4,2
435,1,0,1,1,1,0,1.4,2
436,1,1,0,0,1,1,1.4,2
437,1,1,0,1,0,1,1.4,2
438,1,1,0,1,1,0,1.4,2
439,1,1,1,0,0,1,1.4,2
440,1,1,1,0,1,0,1.4,2
441,1,1,1,1,0,0,1.4,2
442,0,0,1,1,1,1,1.5,2
443,0,1,0,1,1,1,1.5,2
444,0,1,1,0,1,1,1.5,2
445,0,1,1,1,0,1,1.5,2
446,0,1,1,1,1,0,1.5,2
447,1,0,0,1,1,1,1.5,2
448,1,0,1,0,1,1,1.5,2
449,1,0,1,1,0,1,1.5,2
450,1,0,1,1,1,0,1.5,2
451,1,1,0,0,1,1,1.5,2
452,1,1,0,1,0,1,1.5,2
453,1,1,0,1,1,0,1.5,2
454,1,1,1,0,0,1,1.5,2
455,1,1,1,0,1,0,1.5,2
456,1,1,1,1,0,0,1.5,2
457,0,0,1,1,1,1,1.6,2
458,0,1,0,1,1,1,1.6,2
459,0,1,1,0,1,1,1.6,2
460,0,1,1,1,0,1,1.6,2
461,0,1,1,1,1,0,1.6,2
462,1,0,0,1,1,1,1.6,2
463,1,0,1,0,1,1,1.6,2
464,1,0,1,1,0,1,1.6,2
465,1,0,1,1,1,0,1.6,2
466,1,1,0,0,1,1,1.6,2
467,1,1,0,1,0,1,1.6,2
468,1,1,0,1,1,0,1.6,2
469,1,1,1,0,0,1,1.6,2
470,1,1,1,0,1,0,1.6,2
471,1,1,1,1,0,0,1.6,2
472,0,0,1,1,1,1,1.7,2
473,0,1,0,1,1,1,1.7,2
474,0,1,1,0,1,1,1.7,2
475,0,1,1,1,0,1,1.7,2
476,0,1,1,1,1,0,1.7,2
477,1,0,0,1,1,1,1.7,2
478,1,0,1,0,1,1,1.7,2
479,1,0,1,1,0,1,1.7,2
480,1,0,1,1,1,0,1.7,2
481,1,1,0,0,1,1,1.7,2
482,1,1,0,1,0,1,1.7,2
483,1,1,0,1,1,0,1.7,2
484,1,1,1,0,0,1,1.7,2
485,1,1,1,0,1,0,1.7,2
486,1,1,1,1,0,0,1.7,2
487,0,0,1,1,1,1,1.8,2
488,0,1,0,1,1,1,1.8,2
489,0,1,1,0,1,1,1.8,2
490,0,1,1,1,0,1,1.8,2
491,0,1,1,1,1,0,1.8,2
492,1,0,0,1,1,1,1.8,2
493,1,0,1,0,1,1,1.8,2
494,1,0,1,1,0,1,1.8,2
495,1,0,1,1,1,0,1.8,2
496,1,1,0,0,1,1,1.8,2
497,1,1,0,1,0,1,1.8,2
498,1,1,0,1,1,0,1.8,2
499,1,1,1,0,0,1,1.8,2
500,1,1,1,0,1,0,1.8,2
501,1,1,1,1,0,0,1.8,2
502,0,0,1,1,1,1,1.9,2
503,0,1,0,1,1,1,1.9,2
504,0,1,1,0,1,1,1.9,2
505,0,1,1,1,0,1,1.9,2
506,0,1,1,1,1,0,1.9,2
507,1,0,0,1,1,1,1.9,2
508,1,0,1,0,1,1,1.9,2
509,1,0,1,1,0,1,1.9,2
510,1,0,1,1,1,0,1.9,2
511,1,1,0,0,1,1,1.9,2
512,1,1,0,1,0,1,1.9,2
513,1,1,0,1,1,0,1.9,2
514,1,1,1,0,0,1,1.9,2
515,1,1,1,0,1,0,1.9,2
516,1,1,1,1,0,0,1.9,2
517,0,0,1,1,1,1,2,2
518,0,1,0,1,1,1,2,2
519,0,1,1,0,1,1,2,2
520,0,1,1,1,0,1,2,2
521,0,1,1,1,1,0,2,2
522,1,0,0,1,1,1,2,2
523,1,0,1,0,1,1,2,2
524,1,0,1,1,0,1,2,2
525,1,0,1,1,1,0,2,2
526,1,1,0,0,1,1,2,2
527,1,1,0,1,0,1,2,2
528,1,1,0,1,1,0,2,2
529,1,1,1,0,0,1,2,2
530,1,1,1,0,1,0,2,2
531,1,1,1,1,0,0,2,2
532,0,0,1,1,1,1,2.1,2
533,0,1,0,1,1,1,2.1,2
534,0,1,1,0,1,1,2.1,2
535,0,1,1,1,0,1,2.1,2
536,0,1,1,1,1,0,2.1,2
537,1,0,0,1,1,1,2.1,2
538,1,0,1,0,1,1,2.1,2
539,1,0,1,1,0,1,2.1,2
540,1,0,1,1,1,0,2.1,2
541,1,1,0,0,1,1,2.1,2
542,1,1,0,1,0,1,2.1,2
543,1,1,0,1,1,0,2.1,2
544,1,1,1,0,0,1,2.1,2
545,1,1,1,0,1,0,2.1,2
546,1,1,1,1,0,0,2.1,2
547,0,0,1,1,1,1,2.2,2
548,0,1,0,1,1,1,2.2,2
549,0,1,1,0,1,1,2.2,2
550,0,1,1,1,0,1,2.2,2
551,0,1,1,1,1,0,2.2,2
552,1,0,0,1,1,1,2.2,2
553,1,0,1,0,1,1,2.2,2
554,1,0,1,1,0,1,2.2,2
555,1,0,1,1,1,0,2.2,2
556,1,1,0,0,1,1,2.2,2
557,1,1,0,1,0,1,2.2,2
558,1,1,0,1,1,0,2.2,2
559,1,1,1,0,0,1,2.2,2
560,1,1,1,0,1,0,2.2,2
561,1,1,1,1,0,0,2.2,2
562,0,0,1,1,1,1,2.3,2
563,0,1,0,1,1,1,2.3,2
564,0,1,1,0,1,1,2.3,2
565,0,1,1,1,0,1,2.3,2
566,0,1,1,1,1,0,2.3,2
567,1,0,0,1,1,1,2.3,2
568,1,0,1,0,1,1,2.3,2
569,1,0,1,1,0,1,2.3,2
570,1,0,1,1,1,0,2.3,2
571,1,1,0,0,1,1,2.3,2
572,1,1,0,1,0,1,2.3,2
573,1,1,0,1,1,0,2.3,2
574,1,1,1,0,0,1,2.3,2
575,1,1,1,0,1,0,2.3,2
576,1,1,1,1,0,0,2.3,2
577,0,0,1,1,1,1,2.4,2
578,0,1,0,1,1,1,2.4,2
579,0,1,1,0,1,1,2.4,2
580,0,1,1,1,0,1,2.4,2
581,0,1,1,1,1,0,2.4,2
582,1,0,0,1,1,1,2.4,2
583,1,0,1,0,1,1,2.4,2
584,1,0,1,1,0,1,2.4,2
585,1,0,1,1,1,0,2.4,2
586,1,1,0,0,1,1,2.4,2
587,1,1,0,1,0,1,2.4,2
588,1,1,0,1,1,0,2.4,2
589,1,1,1,0,0,1,2.4,2
590,1,1,1,0,1,0,2.4,2
591,1,1,1,1,0,0,2.4,2
592,0,0,1,1,1,1,2.5,2
593,0,1,0,1,1,1,2.5,2
594,0,1,1,0,1,1,2.5,2
595,0,1,1,1,0,1,2.5,2
596,0,1,1,1,1,0,2.5,2
597,1,0,0,1,1,1,2.5,2
598,1,0,1,0,1,1,2.5,2
599,1,0,1,1,0,1,2.5,2
600,1,0,1,1,1,0,2.5,2
601,1,1,0,0,1,1,2.5,2
602,1,1,0,1,0,1,2.5,2
603,1,1,0,1,1,0,2.5,2
604,1,1,1,0,0,1,2.5,2
605,1,1,1,0,1,0,2.5,2
606,1,1,1,1,0,0,2.5,2
607,0,0,1,1,1,1,2.6,2
608,0,1,0,1,1,1,2.6,2
609,0,1,1,0,1,1,2.6,2
610,0,1,1,1,0,1,2.6,2
611,0,1,1,1,1,0,2.6,2
612,1,0,0,1,1,1,2.6,2
613,1,0,1,0,1,1,2.6,2
614,1,0,1,1,0,1,2.6,2
615,1,0,1,1,1,0,2.6,2
616,1,1,0,0,1,1,2.6,2
617,1,1,0,1,0,1,2.6,2
618,1,1,0,1,1,0,2.6,2
619,1,1,1,0,0,1,2.6,2
620,1,1,1,0,1,0,2.6,2
621,1,1,1,1,0,0,2.6,2
622,0,0,1,1,1,1,2.7,2
623,0,1,0,1,1,1,2.7,2
624,0,1,1,0,1,1,2.7,2
625,0,1,1,1,0,1,2.7,2
626,0,1,1,1,1,0,2.7,2
627,1,0,0,1,1,1,2.7,2
628,1,0,1,0,1,1,2.7,2
629,1,0,1,1,0,1,2.7,2
630,1,0,1,1,1,0,2.7,2
631,1,1,0,0,1,1,2.7,2
632,1,1,0,1,0,1,2.7,2
633,1,1,0,1,1,0,2.7,2
634,1,1,1,0,0,1,2.7,2
635,1,1,1,0,1,0,2.7,2
636,1,1,1,1,0,0,2.7,2
637,0,0,1,1,1,1,5,2
638,0,1,0,1,1,1,2.8,2
639,0,1,1,0,1,1,2.8,2
640,0,1,1,1,0,1,2.8,2
641,0,1,1,1,1,0,2.8,2
642,1,0,0,1,1,1,2.8,2
643,1,0,1,0,1,1,2.8,2
644,1,0,1,1,0,1,2.8,2
645,1,0,1,1,1,0,2.8,2
646,1,1,0,0,1,1,2.8,2
647,1,1,0,1,0,1,2.8,2
648,1,1,0,1,1,0,2.8,2
649,1,1,1,0,0,1,2.8,2
650,1,1,1,0,1,0,2.8,2
651,1,1,1,1,0,0,2.8,2
652,0,0,1,1,1,1,2.9,2
653,0,1,0,1,1,1,2.9,2
654,0,1,1,0,1,1,2.9,2
655,0,1,1,1,0,1,2.9,2
656,0,1,1,1,1,0,2.9,2
657,1,0,0,1,1,1,2.9,2
658,1,0,1,0,1,1,2.9,2
659,1,0,1,1,0,1,2.9,2
660,1,0,1,1,1,0,2.9,2
661,1,1,0,0,1,1,2.9,2
662,1,1,0,1,0,1,2.9,2
663,1,1,0,1,1,0,2.9,2
664,1,1,1,0,0,1,2.9,2
665,1,1,1,0,1,0,2.9,2
666,1,1,1,1,0,0,2.9,2
667,0,0,1,1,1,1,3,2
668,0,1,0,1,1,1,3,2
669,0,1,1,0,1,1,3,2
670,0,1,1,1,0,1,3,2
671,0,1,1,1,1,0,3,2
672,1,0,0,1,1,1,3,2
673,1,0,1,0,1,1,3,2
674,1,0,1,1,0,1,3,2
675,1,0,1,1,1,0,3,2
676,1,1,0,0,1,1,3,2
677,1,1,0,1,0,1,3,2
678,1,1,0,1,1,0,3,2
679,1,1,1,0,0,1,3,2
680,1,1,1,0,1,0,3,2
681,1,1,1,1,0,0,3,2
682,0,0,1,1,1,1,3.1,2
683,0,1,0,1,1,1,3.1,2
684,0,1,1,0,1,1,3.1,2
685,0,1,1,1,0,1,3.1,2
686,0,1,1,1,1,0,3.1,2
687,1,0,0,1,1,1,3.1,2
688,1,0,1,0,1,1,3.1,2
689,1,0,1,1,0,1,3.1,2
690,1,0,1,1,1,0,3.1,2
691,1,1,0,0,1,1,3.1,2
692,1,1,0,1,0,1,3.1,2
693,1,1,0,1,1,0,3.1,2
694,1,1,1,0,0,1,3.1,2
695,1,1,1,0,1,0,3.1,2
696,1,1,1,1,0,0,3.1,2
697,0,0,1,1,1,1,3.2,2
698,0,1,0,1,1,1,3.2,2
699,0,1,1,0,1,1,3.2,2
700,0,1,1,1,0,1,3.2,2
701,0,1,1,1,1,0,3.2,2
702,1,0,0,1,1,1,3.2,2
703,1,0,1,0,1,1,3.2,2
704,1,0,1,1,0,1,3.2,2
